movie_title,actor_1_name,actor_2_name,actor_3_name
Animal Kingdom: Let's go Ape ,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau
A Knight's Tale ,Heath Ledger,Rufus Sewell,Bérénice Bejo
The Medallion ,Julian Sands,Lee Evans,Anthony Chau-Sang Wong
The Sixth Sense ,Bruce Willis,Haley Joel Osment,Olivia Williams
Man on a Ledge ,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron
The Big Year ,Joel McHale,Kevin Pollak,JoBeth Williams
The Karate Kid ,Martin Kove,William Zabka,William Bassett
American Hustle ,Jennifer Lawrence,Christian Bale,Bradley Cooper
The Proposal ,Ryan Reynolds,Denis O'Hare,Craig T. Nelson
Double Jeopardy ,Bruce Greenwood,Annabeth Gish,Bruce Campbell
Back to the Future Part II ,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson
Lucy ,Scarlett Johansson,Morgan Freeman,Amr Waked
Fifty Shades of Grey ,Jennifer Ehle,Luke Grimes,Callum Rennie
Spy Kids 3-D: Game Over,Sylvester Stallone,Salma Hayek,Alexa PenaVega
A Time to Kill ,Kevin Spacey,Matthew McConaughey,Oliver Platt
Cheaper by the Dozen ,Tom Welling,Alyson Stoner,Bonnie Hunt
Lone Survivor ,Jerry Ferrara,Scott Elrod,Dan Bilzerian
A League of Their Own ,Tom Hanks,Lori Petty,Rosie O'Donnell
The Conjuring 2,Javier Botet,Frances O'Connor,Robin Atkin Downes
The Social Network ,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope
He's Just Not That Into You ,Carmen Perez,Sabrina Revelle,Sachiko Ishida
Scary Movie 4,Beau Mirchoff,Carmen Electra,Regina Hall
Scream 3,Kelly Rutherford,Roger Jackson,Nancy O'Dell
Back to the Future Part III ,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson
Get Hard ,Will Ferrell,Alison Brie,Craig T. Nelson
Bram Stoker's Dracula ,Keanu Reeves,Anthony Hopkins,Gary Oldman
Julie & Julia ,Meryl Streep,Mary Lynn Rajskub,Vanessa Ferlito
42,Harrison Ford,Christopher Meloni,Nicole Beharie
The Talented Mr. Ripley ,Philip Seymour Hoffman,Matt Damon,Jack Davenport
Dumb and Dumber To ,Bill Murray,Kathleen Turner,Rob Riggle
Eight Below ,Paul Walker,Bruce Greenwood,Wendy Crewson
The Intern ,Robert De Niro,Anne Hathaway,Rene Russo
Ride Along 2,Olivia Munn,Nadine Velazquez,Bruce McGill
The Last of the Mohicans ,Wes Studi,Terry Kinney,Eric Schweig
Ray ,Bokeem Woodbine,Curtis Armstrong,Harry Lennix
Sin City ,Rosario Dawson,Powers Boothe,Jason Douglas
Vantage Point ,Dennis Quaid,Edgar Ramírez,William Hurt
"I Love You, Man ",J.K. Simmons,Jon Favreau,Jane Curtin
Shallow Hal ,Jason Alexander,Bruce McGill,Susan Ward
JFK ,Sally Kirkland,Jay O. Sanders,Cheryl Penland
Big Momma's House 2,Chloë Grace Moretz,Nia Long,Marisol Nichols
The Mexican ,J.K. Simmons,Brad Pitt,Julia Roberts
Unbroken ,Finn Wittrock,Jack O'Connell,Alex Russell
17 Again,Matthew Perry,Hunter Parrish,Thomas Lennon
The Other Woman ,Don Johnson,Kate Upton,David Thornton
The Final Destination ,Krista Allen,Andrew Fiscella,Shantel VanSanten
Bridge of Spies ,Tom Hanks,Mark Rylance,Amy Ryan
Behind Enemy Lines ,Joaquim de Almeida,David Keith,Sam Jaeger
Get Him to the Greek ,Pink,Mario Lopez,Lino Facioli
Shall We Dance ,Lisa Ann Walter,Nick Cannon,Omar Benson Miller
Small Soldiers ,Kirsten Dunst,Denis Leary,Robert Picardo
Spawn ,Michael Jai White,Frank Welker,Miko Hughes
The Count of Monte Cristo ,Henry Cavill,James Frain,Michael Wincott
The Lincoln Lawyer ,Matthew McConaughey,Margarita Levieva,Frances Fisher
Unknown ,Liam Neeson,Frank Langella,Aidan Quinn
The Prestige ,Christian Bale,Hugh Jackman,Scarlett Johansson
Horrible Bosses 2,Kevin Spacey,Christoph Waltz,Lindsay Sloane
Escape from Planet Earth ,Brendan Fraser,Paul Scheer,Jonathan Morgan Heit
Apocalypto ,Rudy Youngblood,Dalia Hernández,Jonathan Brewer
The Living Daylights ,Joe Don Baker,Desmond Llewelyn,Art Malik
Predators ,Topher Grace,Alice Braga,Derek Mears
Legal Eagles ,Brian Dennehy,Debra Winger,Roscoe Lee Browne
Secret Window ,Johnny Depp,Charles S. Dutton,Timothy Hutton
The Lake House ,Keanu Reeves,Dylan Walsh,Ebon Moss-Bachrach
The Skeleton Key ,Gena Rowlands,Deneen Tyler,Joy Bryant
The Odd Life of Timothy Green ,Jennifer Garner,Odeya Rush,Common
Made of Honor ,Busy Philipps,Beau Garrett,Kevin Sussman
Jersey Boys ,Johnny Cannizzaro,Steve Schirripa,Scott Vance
The Rainmaker ,Matt Damon,Dean Stockwell,Virginia Madsen
Gothika ,Robert Downey Jr.,Charles S. Dutton,Bernard Hill
Amistad ,Anthony Hopkins,Morgan Freeman,Matthew McConaughey
Medicine Man ,Lorraine Bracco,José Wilker,Sean Connery
Aliens vs. Predator: Requiem ,Sam Trammell,Johnny Lewis,Ian Whyte
Ri¢hie Ri¢h ,Macaulay Culkin,John Larroquette,Jonathan Hyde
Autumn in New York ,J.K. Simmons,Sam Trammell,Elaine Stritch
Music and Lyrics ,Brad Garrett,Scott Porter,Haley Bennett
Paul ,Bobby Lee,Nelson Ascencio,Jeremy Owen
The Guilt Trip ,Miriam Margolyes,Tom Virtue,Julene Renee
Scream 4,Alison Brie,Aimee Teegarden,Shenae Grimes-Beech
8MM,Nicolas Cage,Chris Bauer,Anthony Heald
The Doors ,Michael Wincott,Kevin Dillon,Kathleen Quinlan
Sex Tape ,James Wilcox,Randall Park,Nat Faxon
Hanging Up ,Adam Arkin,Celia Weston,Jesse James
Final Destination 5,Emma Bell,Jacqueline MacInnes Wood,Courtney B. Vance
Mickey Blue Eyes ,Jeanne Tripplehorn,Burt Young,Vincent Pastore
Pay It Forward ,Kevin Spacey,Haley Joel Osment,Angie Dickinson
Fever Pitch ,Jimmy Fallon,KaDee Strickland,Ione Skye
Arthur             ,Bruce Dinsmore,Melissa Altro,Daniel Brochu
Drillbit Taylor ,Lisa Ann Walter,Shaun Weiss,Matt Walsh
A Million Ways to Die in the West ,Liam Neeson,Charlize Theron,Seth MacFarlane
The Shadow ,Jonathan Winters,Peter Boyle,John Kapelos
Extremely Loud & Incredibly Close ,Tom Hanks,Thomas Horn,Stephen Henderson
Morning Glory ,Noah Bean,Patti D'Arbanville,Vanessa Aspillaga
Get Rich or Die Tryin' ,50 Cent,Bill Duke,Marc John Jefferies
The Art of War ,Michael Biehn,Cary-Hiroyuki Tagawa,Anne Archer
Rent ,Rosario Dawson,David Fine,Jesse L. Martin
Bless the Child ,Rufus Sewell,Jimmy Smits,Angela Bettis
The Out-of-Towners ,Oliver Hudson,Valerie Perri,Carlease Burke
The Island of Dr. Moreau ,Marlon Brando,Temuera Morrison,Marco Hofschneider
The Musketeer ,Catherine Deneuve,Justin Chambers,Stephen Rea
The Other Boleyn Girl ,Natalie Portman,Scarlett Johansson,Benedict Cumberbatch
Sweet November ,Keanu Reeves,Charlize Theron,Frank Langella
The Reaping ,Stephen Rea,Andrea Frankle,William Ragsdale
Mean Streets ,Robert De Niro,David Carradine,David Proval
Renaissance Man ,Ed Begley Jr.,Cliff Robertson,Lillo Brancato
Colombiana ,Jordi Mollà,Callum Blue,Jesse Borrego
The Magic Sword: Quest for Camelot ,Gary Oldman,Jaleel White,Eric Idle
City by the Sea ,Robert De Niro,James Franco,John Doman
At First Sight ,Mira Sorvino,Nathan Lane,Steven Weber
Torque ,Dane Cook,Jay Hernandez,Christina Milian
City Hall ,Al Pacino,Martin Landau,Bridget Fonda
Showgirls ,Bobbie Phillips,Elizabeth Berkley,Robert Davi
Marie Antoinette ,Kirsten Dunst,Shirley Henderson,Rip Torn
Kiss of Death ,Nicolas Cage,Michael Rapaport,Philip Baker Hall
Get Carter ,Sylvester Stallone,Miranda Richardson,Lauren Lee Smith
The Impossible ,Naomi Watts,Geraldine Chaplin,Oaklee Pendergast
Ishtar ,Carol Kane,Warren Beatty,Isabelle Adjani
Fantastic Mr. Fox ,Bill Murray,Meryl Streep,Helen McCrory
Life or Something Like It ,Angelina Jolie Pitt,Stockard Channing,James Gammon
Memoirs of an Invisible Man ,Richard Epcar,Michael McKean,Patricia Heaton
Amélie ,Mathieu Kassovitz,Jamel Debbouze,Isabelle Nanty
New York Minute ,Mary-Kate Olsen,Bob Saget,Riley Smith
Alfie ,Omar Epps,Nia Long,Jane Krakowski
Big Miracle ,Ted Danson,Tim Blake Nelson,Andrew Daly
The Deep End of the Ocean ,Alexa PenaVega,Treat Williams,Jonathan Jackson
Feardotcom ,Natascha McElhone,Jeffrey Combs,Udo Kier
Cirque du Freak: The Vampire's Assistant ,Josh Hutcherson,Salma Hayek,Patrick Fugit
Victor Frankenstein ,Daniel Radcliffe,Spencer Wilding,Daniel Mays
Duplex ,Justin Theroux,Amber Valletta,Harvey Fierstein
Soul Men ,Bernie Mac,Sean Hayes,Mike Epps
Raise the Titanic ,M. Emmet Walsh,Jason Robards,Anne Archer
Universal Soldier: The Return ,Michael Jai White,Daniel von Bargen,Xander Berkeley
Pandorum ,Norman Reedus,Dennis Quaid,Eddie Rouse
Impostor ,Gary Dourdan,Mekhi Phifer,Tim Guinee
Extreme Ops ,Rufus Sewell,Bridgette Wilson-Sampras,Rupert Graves
Just Visiting ,Bridgette Wilson-Sampras,Matt Ross,John Aylward
Sunshine ,Chris Evans,Benedict Wong,Troy Garity
A Thousand Words ,John Gatins,Lou Saliba,Greg Collins
Delgo ,Eric Idle,Anne Bancroft,Kelly Ripa
The Gunman ,Ray Winstone,Mark Rylance,Jasmine Trinca
Alex Rider: Operation Stormbreaker ,Alex Pettyfer,Sophie Okonedo,Ashley Walters
Disturbia ,Sarah Roemer,Aaron Yoo,Jose Pablo Cantillo
Hackers ,Angelina Jolie Pitt,Fisher Stevens,Lorraine Bracco
The Hunting Party ,James Brolin,Zan Marolt,Ljubomir Kerekes
The Hudsucker Proxy ,Jennifer Jason Leigh,Bill Cobbs,John Mahoney
The Warlords ,Jet Li,Takeshi Kaneshiro,Andy Lau
Nomad: The Warrior ,Jay Hernandez,Kuno Becker,Jason Scott Lee
Snowpiercer ,Chris Evans,Ewen Bremner,Kang-ho Song
A Monster in Paris ,Adam Goldberg,Bob Balaban,François Cluzet
The Last Shot ,Matthew Broderick,Glenn Morshower,Tim Blake Nelson
The Crow ,Michael Wincott,Bai Ling,David Patrick Kelly
Baahubali: The Beginning ,Tamannaah Bhatia,Anushka Shetty,Prabhas
The Time Traveler's Wife ,Arliss Howard,Brooklynn Proulx,Michelle Nolden
Because I Said So ,Colin Ferguson,Stephen Collins,Tom Everett Scott
The Fast and the Furious ,Paul Walker,Vin Diesel,Jordana Brewster
Frankenweenie ,Martin Landau,Catherine O'Hara,Atticus Shaffer
Serenity ,Adam Baldwin,Sean Maher,Michael Hitchcock
Against the Ropes ,Omar Epps,Charles S. Dutton,Tim Daly
Superman III ,Margot Kidder,Robert Vaughn,Jackie Cooper
Grudge Match ,Robert De Niro,Sylvester Stallone,Oscar Gale
Red Cliff ,Takeshi Kaneshiro,Tony Chiu Wai Leung,Wei Zhao
Sweet Home Alabama ,Ethan Embry,Mary Lynn Rajskub,Courtney Gains
The Ugly Truth ,Gerard Butler,John Michael Higgins,Eric Winter
Sgt. Bilko ,Austin Pendleton,Phil Hartman,Max Casella
Spy Kids 2: Island of Lost Dreams,Steve Buscemi,Alexa PenaVega,Emily Osment
Star Trek: Generations ,LeVar Burton,Alan Ruck,Jonathan Frakes
The Grandmaster ,Tony Chiu Wai Leung,Hye-kyo Song,Elvis Tsui
Water for Elephants ,Robert Pattinson,Christoph Waltz,James Frain
3rd Rock from the Sun,Joseph Gordon-Levitt,Wayne Knight,Kristen Johnston
Dragon Nest: Warriors' Dawn ,Blythe Auffarth,Bianca Collins,Jiao Xu
The Hurricane ,Denzel Washington,Vincent Pastore,Deborah Kara Unger
Enough ,Bill Cobbs,Jeff Kober,Billy Campbell
Heartbreakers ,Sarah Silverman,Anne Bancroft,Jeffrey Jones
Paul Blart: Mall Cop 2,D.B. Woodside,Daniella Alonso,Eduardo Verástegui
Angel Eyes ,Sonia Braga,Shirley Knight,Kari Matchett
Joe Somebody ,Jim Belushi,Ken Marino,Kelly Lynch
The Ninth Gate ,Johnny Depp,Frank Langella,Lena Olin
Extreme Measures ,J.K. Simmons,Paul Guilfoyle,Bill Nunn
Rock Star ,Beth Grant,Dagmara Dominczyk,Matthew Glave
Precious ,Mo'Nique,Gabourey Sidibe,Mariah Carey
White Squall ,Jeff Bridges,Jason Marsden,Ethan Embry
The Thing ,Wilford Brimley,Richard Masur,David Clennon
Riddick ,Vin Diesel,Nolan Gerard Funk,Bokeem Woodbine
Switchback ,Gregory Scott Cummins,Claudia Stedelin,Ted Markland
Texas Rangers ,Tom Skerritt,Usher Raymond,Leonor Varela
City of Ember ,Bill Murray,Toby Jones,Harry Treadaway
The Master ,Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild
Virgin Territory ,Hayden Christensen,Ryan Cartwright,David Walliams
The Express ,Dennis Quaid,Nicole Beharie,Charles S. Dutton
The 5th Wave,Chloë Grace Moretz,Maggie Siff,Nick Robinson
Creed ,Sylvester Stallone,Phylicia Rashad,Graham McTavish
The Town ,Jeremy Renner,Jon Hamm,Owen Burke
What to Expect When You're Expecting ,Anna Kendrick,Dennis Quaid,Thomas Lennon
Burn After Reading ,J.K. Simmons,Brad Pitt,Kevin Sussman
Nim's Island ,Gerard Butler,Anthony Simcoe,Christopher James Baker
Rush ,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara
Magnolia ,Patton Oswalt,Neil Flynn,Jim Meskimen
Cop Out ,Bruce Willis,Tracy Morgan,Kevin Pollak
How to Be Single ,Alison Brie,Damon Wayans Jr.,Nicholas Braun
Dolphin Tale ,Morgan Freeman,Michael Roark,Harry Connick Jr.
Twilight ,Kristen Stewart,Taylor Lautner,Anna Kendrick
John Q ,Denzel Washington,Laura Harring,Anne Heche
Blue Streak ,Peter Greene,Dave Chappelle,Tamala Jones
We're the Millers ,Laura-Leigh,Molly C. Quinn,Thomas Lennon
Obitaemyy ostrov ,Yuliya Snigir,Fedor Bondarchuk,Aleksey Serebryakov
Breakdown ,Kathleen Quinlan,M.C. Gainey,J.T. Walsh
Never Say Never Again ,Bernie Casey,Klaus Maria Brandauer,Barbara Carrera
Hot Tub Time Machine ,Charlie McDermott,Collette Wolfe,Crystal Lowe
Dolphin Tale 2,Morgan Freeman,Taylor Blackwell,Harry Connick Jr.
Reindeer Games ,Charlize Theron,James Frain,Clarence Williams III
A Man Apart ,Vin Diesel,Jeff Kober,Larenz Tate
Aloha ,Emma Stone,Bradley Cooper,Bill Murray
Ghosts of Mississippi ,Alexa PenaVega,Virginia Madsen,Craig T. Nelson
Snow Falling on Cedars ,Rick Yune,Reeve Carney,Daniel von Bargen
The Rite ,Anthony Hopkins,Colin O'Donoghue,Toby Jones
Gattaca ,Blair Underwood,Xander Berkeley,Mason Gamble
Isn't She Great ,Stockard Channing,Nathan Lane,John Larroquette
Space Chimps ,Cheryl Hines,Kenan Thompson,Omid Abtahi
Head of State ,Bernie Mac,Dylan Baker,Tracy Morgan
The Hangover ,Bradley Cooper,Rob Riggle,Mike Epps
Ip Man 3,Mike Tyson,Lynn Hung,Kwok-Kwan Chan
Austin Powers: The Spy Who Shagged Me ,Muse Watson,Verne Troyer,Robert Wagner
Batman ,Michael Gough,Jack Palance,William Hootkins
There Be Dragons ,Jordi Mollà,Dougray Scott,Lily Cole
Lethal Weapon 3,Rene Russo,Nick Chinlund,Stuart Wilson
The Blind Side ,Catherine Dyer,Quinton Aaron,Kim Dickens
Rush Hour             ,Jon Foo,Aimee Garcia,Wendie Malick
Spy Kids ,Alexa PenaVega,Cheech Marin,Daryl Sabara
Horrible Bosses ,Kevin Spacey,Lindsay Sloane,Reginald Ballard
True Grit ,Matt Damon,Jeff Bridges,Bruce Green
The Devil Wears Prada ,Meryl Streep,Anne Hathaway,Rebecca Mader
Star Trek: The Motion Picture ,Leonard Nimoy,Nichelle Nichols,Walter Koenig
Identity Thief ,Jon Favreau,Eric Stonestreet,T.I.
Cape Fear ,Robert De Niro,Robert Mitchum,Joe Don Baker
21,Kevin Spacey,Jim Sturgess,Josh Gad
Trainwreck ,Amy Schumer,Randall Park,Josh Segarra
Guess Who ,Bernie Mac,Nicole Sullivan,Sherri Shepherd
The English Patient ,Colin Firth,Kristin Scott Thomas,Jürgen Prochnow
L.A. Confidential ,Kevin Spacey,Matt McCoy,Paul Guilfoyle
Sky High ,Michael Angarano,Kelly Preston,Nicholas Braun
In & Out ,Tom Selleck,Wilford Brimley,Lauren Ambrose
Species ,Natasha Henstridge,Marg Helgenberger,Jordan Lund
A Nightmare on Elm Street ,Johnny Depp,Lin Shaye,Amanda Wyss
The Cell ,Dylan Baker,Jake Weber,James Gammon
The Man in the Iron Mask ,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche
Secretariat ,Scott Glenn,Kevin Connolly,Dylan Walsh
TMNT ,Chris Evans,Sarah Michelle Gellar,Mako
Radio ,Alfre Woodard,Riley Smith,Debra Winger
Friends with Benefits ,Mila Kunis,Justin Timberlake,Masi Oka
Neighbors 2: Sorority Rising,Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons
Saving Mr. Banks ,Tom Hanks,Ruth Wilson,B.J. Novak
Malcolm X ,Denzel Washington,Delroy Lindo,Al Freeman Jr.
This Is 40,Charlyne Yi,Maude Apatow,Mackenzie Aladjem
Old Dogs ,Robin Williams,Bernie Mac,Ann-Margret
Underworld: Rise of the Lycans ,Craig Parker,Kevin Grevioux,Steven Mackintosh
License to Wed ,Robin Williams,Christine Taylor,Mindy Kaling
The Benchwarmers ,Jon Lovitz,Jon Heder,Tim Meadows
Must Love Dogs ,Stockard Channing,Victor Webster,Elizabeth Perkins
Donnie Brasco ,Johnny Depp,Al Pacino,Anne Heche
Resident Evil ,Milla Jovovich,Jaymes Butler,Colin Salmon
Poltergeist ,Heather O'Rourke,Zelda Rubinstein,Craig T. Nelson
The Ladykillers ,J.K. Simmons,Tom Hanks,Stephen Root
Max Payne ,Mila Kunis,Beau Bridges,Jamie Hector
In Time ,Matt Bomer,Olivia Wilde,Justin Timberlake
The Back-up Plan ,Danneel Ackles,Noureen DeWulf,Tom Bosley
Something Borrowed ,Ashley Williams,Steve Howey,Kirsten Day
Hit the Floor             ,Jodi Lyn O'Keefe,Kimberly Elise,Logan Browning
Black Knight ,Tom Wilkinson,Marsha Thomason,Vincent Regan
The Bad News Bears ,Tatum O'Neal,Vic Morrow,Joyce Van Patten
Street Fighter ,Ming-Na Wen,Raul Julia,Kylie Minogue
The Pianist ,Emilia Fox,Frank Finlay,Ed Stoppard
From Hell ,Johnny Depp,Jason Flemyng,Ian Richardson
The Nativity Story ,Keisha Castle-Hughes,Hiam Abbass,Shaun Toub
House of Wax ,Robert Ri'chard,Paris Hilton,Brian Van Holt
Closer ,Natalie Portman,Julia Roberts,Colin Stinton
J. Edgar ,Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever
Mirrors ,Jason Flemyng,Cameron Boyce,Julian Glover
Queen of the Damned ,Aaliyah,Lena Olin,Bruce Spence
Predator 2,Adam Baldwin,Robert Davi,Kevin Peter Hall
Untraceable ,Billy Burke,Jesse Tyler Ferguson,Joseph Cross
Blast from the Past ,Brendan Fraser,Sissy Spacek,Douglas Smith
Flash Gordon ,Brian Blessed,William Hootkins,Sam J. Jones
Jersey Girl ,Stephen Root,Mike Starr,George Carlin
Alex Cross ,Cicely Tyson,Chad Lindberg,Carmen Ejogo
Midnight in the Garden of Good and Evil ,Kevin Spacey,Bob Gunton,Leon Rippy
Heist ,Robert De Niro,Joshua Mikel,D.B. Sweeney
Nanny McPhee Returns ,Daniel Mays,Bill Bailey,Eros Vlahos
Hoffa ,Frank Whaley,J.T. Walsh,Paul Guilfoyle
The X Files: I Want to Believe ,Mitch Pileggi,Callum Rennie,Nicki Aycox
Ella Enchanted ,Anne Hathaway,Steve Coogan,Joanna Lumley
Concussion ,Will Smith,Eddie Marsan,Albert Brooks
Abduction ,Ken Arnold,Benjamin J. Cain Jr.,Richard Cetrone
Valiant ,Jim Broadbent,Olivia Williams,Pip Torrens
Wonder Boys ,Robert Downey Jr.,Rip Torn,Richard Thomas
Superhero Movie ,Drake Bell,Tracy Morgan,Marion Ross
Broken City ,Alona Tal,James Ransone,Michael Beach
Cursed ,Shannon Elizabeth,Portia de Rossi,Derek Mears
Premium Rush ,Joseph Gordon-Levitt,Dania Ramirez,Aasif Mandvi
Hot Pursuit ,Jim Gaffigan,Richard T. Jones,Michael Mosley
The Four Feathers ,Djimon Hounsou,Lucy Gordon,Alex Jennings
Parker ,Jason Statham,Clifton Collins Jr.,Wendell Pierce
Wimbledon ,Kirsten Dunst,Jon Favreau,Austin Nichols
Furry Vengeance ,Brendan Fraser,Brooke Shields,Matt Prokop
Bait ,Alex Russell,Cariba Heine,Richard Brancatisano
Krull ,Liam Neeson,Alun Armstrong,Lysette Anthony
Lions for Lambs ,Meryl Streep,Tom Cruise,Andrew Garfield
Flight of the Intruder ,Rosanna Arquette,Dann Florek,Christopher Rich
Walk Hard: The Dewey Cox Story ,Tim Meadows,Nat Faxon,Matt Price
The Shipping News ,Kevin Spacey,Scott Glenn,Jason Behr
American Outlaws ,Gregory Smith,Ronny Cox,Harris Yulin
The Young Victoria ,Michiel Huisman,Jim Broadbent,Thomas Kretschmann
Whiteout ,Tom Skerritt,Bashar Rahal,Shawn Doyle
The Tree of Life ,Brad Pitt,Tye Sheridan,Fiona Shaw
Knock Off ,Paul Sorvino,Lela Rochon,Ray Nicholas
Sabotage ,Mireille Enos,Martin Donovan,Maurice Compte
The Order ,Heath Ledger,Mark Addy,Benno Fürmann
Punisher: War Zone ,Julie Benz,Wayne Knight,Colin Salmon
Zoom ,Kevin Zegers,Rip Torn,Thomas F. Wilson
The Walk ,Joseph Gordon-Levitt,Soleyman Pierini,Jade Kindar-Martin
Warriors of Virtue ,Marley Shelton,Lee Arenberg,Angus Macfadyen
A Good Year ,Archie Panjabi,Albert Finney,Richard Coyle
Luther             ,Ruth Wilson,Indira Varma,Warren Brown
Radio Flyer ,Adam Baldwin,Thomas Ian Nicholas,John Heard
"Blood In, Blood Out ",Delroy Lindo,Jesse Borrego,Raymond Cruz
Smilla's Sense of Snow ,Jim Broadbent,Tom Wilkinson,Julia Ormond
Femme Fatale ,Peter Coyote,Gregg Henry,Rie Rasmussen
Lion of the Desert ,Oliver Reed,Rod Steiger,John Gielgud
The Horseman on the Roof ,Olivier Martinez,François Cluzet,Isabelle Carré
Ride with the Devil ,Jeremy W. Auman,Jeffrey Dover,Tobey Maguire
Biutiful ,Maricel Álvarez,Hanaa Bouchaib,Eduard Fernández
The Lovers ,Tamsin Egerton,Alice Englert,Bipasha Basu
Bandidas ,Salma Hayek,Sam Shepard,Dwight Yoakam
Black Water Transit ,Bill Cobbs,Aisha Tyler,Beverly D'Angelo
The Maze Runner ,Ki Hong Lee,Aml Ameen,Jacob Latimore
Unfinished Business ,Tom Wilkinson,June Diane Raphael,Melissa McMeekin
The Age of Innocence ,Richard E. Grant,Geraldine Chaplin,Stuart Wilson
The Fountain ,Hugh Jackman,Ellen Burstyn,Mark Margolis
Chill Factor ,David Paymer,Kevin J. O'Connor,Hudson Leick
Stolen ,Nicolas Cage,Mark Valley,Sami Gayle
Ponyo ,Rumi Hiiragi,Yûki Amami,Yuria Nara
The Longest Ride ,Tiago Riani,Melissa Benoist,Hayley Lovitt
The Astronaut's Wife ,Johnny Depp,Charlize Theron,Clea DuVall
I Dreamed of Africa ,Liam Aiken,Eva Marie Saint,Vincent Perez
Playing for Keeps ,Gerard Butler,Dennis Quaid,Judy Greer
Mandela: Long Walk to Freedom ,Terry Pheto,Fana Mokoena,Tony Kgoroge
Reds ,Paul Sorvino,Warren Beatty,M. Emmet Walsh
A Few Good Men ,Tom Cruise,Demi Moore,Kevin Pollak
Exit Wounds ,Michael Jai White,Bill Duke,Bruce McGill
Big Momma's House ,Nia Long,Cedric the Entertainer,Tichina Arnold
Thunder and the House of Magic ,Kyle Hebert,Brianne Brozey,Joe Ochman
The Darkest Hour ,Max Minghella,Veronika Vernadskaya,Dato Bakhtadze
Step Up Revolution ,Ryan Guzman,Stephen Boss,Misha Gabriel Hamilton
Snakes on a Plane ,Lin Shaye,Kenan Thompson,Rachel Blanchard
The Watcher ,Keanu Reeves,Joseph Sikora,Chris Ellis
The Punisher ,Laura Harring,Marco St. John,Eddie Jemison
Goal! The Dream Begins ,Sean Pertwee,Kuno Becker,Stephen Dillane
Safe ,Jason Statham,Reggie Lee,Robert John Burke
Pushing Tin ,Angelina Jolie Pitt,Kurt Fuller,Jake Weber
Star Wars: Episode VI - Return of the Jedi ,Harrison Ford,Ian McDiarmid,Kenny Baker
Doomsday ,Ryan Kruger,Jason Cope,Jeremy Crutchley
The Reader ,Kate Winslet,David Kross,Susanne Lothar
Wanderlust ,Justin Theroux,Lauren Ambrose,Joe Lo Truglio
Elf ,Peter Dinklage,Zooey Deschanel,Will Ferrell
Phenomenon ,Robert Duvall,Kyra Sedgwick,David Gallagher
Snow Dogs ,James Coburn,Nichelle Nichols,M. Emmet Walsh
Scrooged ,Bill Murray,Alfre Woodard,Robert Mitchum
Nacho Libre ,Ana de la Reguera,Moises Arias,Héctor Jiménez
Bridesmaids ,Matt Lucas,Wendi McLendon-Covey,Steve Bannos
This Is the End ,Channing Tatum,James Franco,Emma Watson
Stigmata ,Nia Long,Enrico Colantoni,Portia de Rossi
Men of Honor ,Robert De Niro,Charlize Theron,Michael Rapaport
Takers ,Paul Walker,Hayden Christensen,Jay Hernandez
The Big Wedding ,Robin Williams,Robert De Niro,Topher Grace
"Big Mommas: Like Father, Like Son ",Brandon T. Jackson,Tony Curran,Portia Doubleday
Source Code ,Jake Gyllenhaal,Cas Anvar,Russell Peters
Alive ,Illeana Douglas,Danny Nucci,Michael DeLorenzo
The Number 23,Logan Lerman,Virginia Madsen,Ed Lauter
The Young and Prodigious T.S. Spivet ,Callum Rennie,Julian Richings,Judy Davis
1941,Christopher Lee,John Belushi,Treat Williams
Dreamer: Inspired by a True Story ,Ken Howard,Freddy Rodríguez,Holmes Osborne
A History of Violence ,Viggo Mortensen,Kyle Schmid,William Hurt
Transporter 2,Jason Statham,Jason Flemyng,Matthew Modine
The Quick and the Dead ,Leonardo DiCaprio,Pat Hingle,Roberts Blossom
Laws of Attraction ,Frances Fisher,Mike Doyle,Nora Dunn
Bringing Out the Dead ,Nicolas Cage,Marc Anthony,Sonja Sohn
Repo Men ,Alice Braga,RZA,Yvette Nicole Brown
Dragon Wars: D-War ,Robert Forster,Aimee Garcia,Chris Mulkey
Bogus ,Haley Joel Osment,Nancy Travis,Andrea Martin
The Incredible Burt Wonderstone ,Steve Buscemi,Olivia Wilde,Steve Carell
Cats Don't Dance ,George Kennedy,Frank Welker,Hal Holbrook
Cradle Will Rock ,Bill Murray,Vanessa Redgrave,Emily Watson
The Good German ,Tony Curran,Beau Bridges,Leland Orser
George and the Dragon ,Joan Plowright,Rollo Weeks,Simon Callow
Apocalypse Now ,Harrison Ford,Marlon Brando,Robert Duvall
Going the Distance ,Rob Riggle,Kelli Garner,Jim Gaffigan
Mr. Holland's Opus ,Alicia Witt,Olympia Dukakis,Jean Louisa Kelly
Criminal ,Gary Oldman,Jordi Mollà,Doug Cockle
